assessment_id,factor_id,name,score_type,value_type
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_PACE,Pace,Raw,Percentile
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_PACE,Pace,Raw,Sten
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_PACE,Pace,Raw,T
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_PACE,Pace,Raw,Z
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_TOTALSCORE,Abstract,Raw,Percentile
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_TOTALSCORE,Abstract,Raw,Sten
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_TOTALSCORE,Abstract,Raw,T
2d96b504-98bd-4872-bd03-f93493cefa21,ABSTREAS_RX_TOTALSCORE,Abstract,Raw,Z
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_PACE,Pace,Raw,Percentile
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_PACE,Pace,Raw,Sten
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_PACE,Pace,Raw,T
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_PACE,Pace,Raw,Z
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_TOTALSCORE,Diagrammatic,Raw,Percentile
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_TOTALSCORE,Diagrammatic,Raw,Sten
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_TOTALSCORE,Diagrammatic,Raw,T
df3fe097-4394-4bef-8abc-eaf36b0fbe0e,DIAGANA_RX_TOTALSCORE,Diagrammatic,Raw,Z
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_PACE,Pace,Raw,Percentile
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_PACE,Pace,Raw,Sten
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_PACE,Pace,Raw,T
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_PACE,Pace,Raw,Z
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_TOTALSCORE,Diagrammatic,Raw,Percentile
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_TOTALSCORE,Diagrammatic,Raw,Sten
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_TOTALSCORE,Diagrammatic,Raw,T
1fed08da-44ba-46b6-9be5-2c3b7aec066a,DIAGREAS_RX_TOTALSCORE,Diagrammatic,Raw,Z
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_PACE,Pace,Raw,Percentile
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_PACE,Pace,Raw,Sten
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_PACE,Pace,Raw,T
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_PACE,Pace,Raw,Z
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_TOTALSCORE,Error Checking,Raw,Percentile
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_TOTALSCORE,Error Checking,Raw,Sten
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_TOTALSCORE,Error Checking,Raw,T
4d37344b-e66e-4a00-9314-929c2c8030d2,ERRCHK_RX_TOTALSCORE,Error Checking,Raw,Z
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_PACE,Pace,Raw,Percentile
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_PACE,Pace,Raw,Sten
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_PACE,Pace,Raw,T
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_PACE,Pace,Raw,Z
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_TOTALSCORE,Mechanical,Raw,Percentile
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_TOTALSCORE,Mechanical,Raw,Sten
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_TOTALSCORE,Mechanical,Raw,T
28eea6cb-c094-4975-9c78-9ad67e8c3fcf,MECHREAS_RX_TOTALSCORE,Mechanical,Raw,Z
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_PACE,Pace,Raw,Percentile
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_PACE,Pace,Raw,Sten
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_PACE,Pace,Raw,T
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_PACE,Pace,Raw,Z
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_TOTALSCORE,Numerical,Raw,Percentile
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_TOTALSCORE,Numerical,Raw,Sten
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_TOTALSCORE,Numerical,Raw,T
4c1665e2-eee3-4e92-8f31-70a6b0e55e93,NUMCOMP_RX_TOTALSCORE,Numerical,Raw,Z
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_PACE,Pace,Raw,Percentile
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_PACE,Pace,Raw,Sten
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_PACE,Pace,Raw,T
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_PACE,Pace,Raw,Z
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_TOTALSCORE,Spatial,Raw,Percentile
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_TOTALSCORE,Spatial,Raw,Sten
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_TOTALSCORE,Spatial,Raw,T
73f44184-eed3-400d-b4bb-14925e4502d3,SPAREAS_RX_TOTALSCORE,Spatial,Raw,Z
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_DIAG,Pace,Raw,Percentile
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_DIAG,Pace,Raw,Sten
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_DIAG,Pace,Raw,T
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_DIAG,Pace,Raw,Z
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_NUM,Pace,Raw,Percentile
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_NUM,Pace,Raw,Sten
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_NUM,Pace,Raw,T
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_NUM,Pace,Raw,Z
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_VERB,Pace,Raw,Percentile
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_VERB,Pace,Raw,Sten
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_VERB,Pace,Raw,T
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_PACE_VERB,Pace,Raw,Z
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_DIAG,Diagrammatic,Raw,Percentile
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_DIAG,Diagrammatic,Raw,Sten
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_DIAG,Diagrammatic,Raw,T
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_DIAG,Diagrammatic,Raw,Z
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_NUM,Numerical,Raw,Percentile
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_NUM,Numerical,Raw,Sten
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_NUM,Numerical,Raw,T
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_NUM,Numerical,Raw,Z
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_VERB,Verbal,Raw,Percentile
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_VERB,Verbal,Raw,Sten
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_VERB,Verbal,Raw,T
62827908-1916-4e58-8f03-6b9df8c7c6a5,SWIFTANA_RX_SUBSCORE_VERB,Verbal,Raw,Z
